katalogusszam,sap_rendelesi_szam,megnevezes,listaar_huf,statusz
011108,LG-011108,DLP alu válaszfal 50 mm fedéltartó nélkül,6518,
011109,LG-011109,DLP alu válaszfal 65 mm fedéltartó nélkül,7053,
011110,LG-011110,DLP alu fedél 65 mm,10221,
011111,LG-011111,DLP alu fedél 85 mm,13856,
011112,LG-011112,DLP alu fedél 130 mm,13118,
011113,LG-011113,DLP alu fedél 180 mm,0,Megszűnt termék!
011114,LG-011114,DLP alu csatorna 105x50,31792,
011115,LG-011115,DLP alu végzáró 60x105,6171,
011158,LG-011158,DLP alu végzáró 50x105,6436,
011159,LG-011159,DLP alu végzáró 65x105,9682,
011160,LG-011160,DLP alu végzáró 50x150,10819,
011161,LG-011161,DLP alu végzáró 50x195,12521,
011162,LG-011162,DLP alu takaróelem 65 mm fedélhez,2739,
011163,LG-011163,DLP alu takaróelemf 85 mm fedélhez,2900,
011166,LG-011166,DLP alu takaróelem csatornához,2145,
011167,LG-011167,DLP alu keret egyes Ø60 szerelvény 85 mm fedélhez,5912,
011168,LG-011168,DLP alu keret kettes Ø60 szerelvény 85 mm fedélhez,7937,
011169,LG-011169,DLP alu keret hármas Ø60 szerelvény 85 mm fedélhez,10480,
011170,LG-011170,DLP alu keret négyes Ø60 szerelvény 85 mm fedélhez,16034,
011171,LG-011171,DLP alu egyes keret Ø60 szerelvény 130 mm fedélhez,6349,
011188,LG-011188,DLP földelési kiegészítő bepattintható alumínium kábelcsatornához	,1138,
011189,LG-011189,DLP alu végzáró 65x150,10528,
011191,LG-011191,DLP alu takaróelem csatornához 60x105,1879,
011192,LG-011192,DLP tömítés kat. 0 111 66 használható,1982,
011202,LG-011202,"DLP alu keret Program Mosaic 2 modulos, 65 mm fedélhez",5919,
011203,LG-011203,"DLP alu keret Program Mosaic 3 modulos, 65 mm fedélhez",6879,
011204,LG-011204,"DLP alu keret Program Mosaic 4 modulos, 65 mm fedélhez",7476,
